Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
318, 28154, 3300, 1290
319, 24174, 2250, 980
320, 23880, 2215, 945
321, 23390, 2085, 880
322, 23485, 2140, 854
323, 23649, 2184, 825
324, 23539, 2135, 810
325, 23494, 2195, 810
326, 23980, 2255, 840
327, 23485, 2130, 870
328, 23395, 2066, 880
329, 23759, 2135, 855
330, 23339, 2170, 845
331, 23704, 2215, 805
332, 23575, 2130, 845
333, 23689, 2150, 910
334, 23489, 2180, 860
335, 23779, 2295, 890
336, 23319, 2105, 835
337, 23330, 2145, 865
338, 23555, 2195, 845
339, 23744, 2130, 845
340, 23469, 2155, 830
341, 23875, 2260, 820
342, 23385, 2150, 840
343, 65294, 2184, 935
344, 23769, 2205, 835
345, 23389, 2145, 840
346, 23865, 2240, 860
347, 23330, 2139, 830
348, 23575, 2130, 879
349, 23489, 2170, 865
350, 23749, 2160, 885
351, 23439, 2105, 785
352, 23390, 2145, 855
353, 23730, 2185, 866
354, 23455, 2129, 815
355, 23364, 2215, 810
356, 23889, 2215, 825
357, 23369, 2140, 845
358, 23350, 2090, 900
359, 23760, 2120, 814
360, 23379, 2180, 840
361, 23804, 2220, 820
362, 23454, 2140, 835
363, 23735, 2160, 915
364, 23490, 2175, 875
365, 23710, 2294, 884
366, 87213, 2240, 950
367, 23519, 2204, 910
368, 23644, 2190, 875
369, 23754, 2120, 820
370, 23484, 2115, 840
371, 23790, 2255, 815
372, 23505, 2136, 830
373, 23299, 2075, 875
374, 23679, 2155, 845
375, 23299, 2180, 845
376, 23785, 2250, 830
377, 23290, 2135, 816
378, 55929, 2230, 946
379, 23719, 2205, 865
380, 23929, 2175, 890
381, 23439, 2095, 810
382, 23394, 2125, 840
383, 23475, 2195, 854
384, 23429, 2140, 816
385, 23579, 2200, 815
386, 23929, 2345, 825
387, 23454, 2145, 865
388, 23275, 2070, 890
389, 23725, 2120, 820
390, 23230, 2170, 820
391, 23779, 2220, 795
392, 23404, 2130, 820
393, 23605, 2155, 985
394, 23510, 2175, 870
395, 23779, 2300, 890
396, 23294, 2115, 845
397, 23394, 2145, 825
398, 23550, 2195, 860
399, 23480, 2110, 810
400, 23464, 2104, 814
401, 23789, 2210, 825
402, 23464, 2165, 830
403, 23419, 2085, 885
404, 23770, 2160, 825
405, 23430, 2189, 830
406, 24129, 2245, 850
407, 23439, 2165, 820
408, 23450, 2165, 875
409, 23385, 2170, 895
410, 23924, 2180, 830
411, 23434, 2115, 790
412, 23364, 2135, 845
413, 23640, 2180, 865
414, 23425, 2125, 825
415, 23454, 2204, 810
416, 23799, 2220, 830
417, 23399, 2130, 835
418, 23324, 2075, 910
419, 23735, 2115, 815
420, 23354, 2164, 824
421, 23814, 2204, 845
422, 23414, 2120, 815
423, 23539, 2145, 905
424, 23529, 2175, 870
425, 23680, 2300, 970
426, 23285, 2100, 810
427, 23374, 2155, 865
428, 23604, 2190, 870
429, 23394, 2105, 815
430, 23455, 2095, 825
431, 23765, 2245, 800
432, 23390, 2140, 810
433, 23319, 2090, 890
434, 23709, 2150, 830
435, 23414, 2195, 835
436, 23800, 2240, 830
437, 23400, 2135, 820
438, 23754, 2160, 885
439, 23509, 2195, 850
440, 23809, 2170, 870
441, 23280, 2100, 790
442, 23540, 2140, 845
443, 23589, 2216, 940
444, 23429, 2140, 825
445, 23534, 2225, 825
446, 23780, 2265, 845
447, 23425, 2144, 864
448, 23295, 2069, 890
449, 23634, 2125, 830
450, 23239, 2175, 805
451, 23770, 2210, 815
452, 23405, 2135, 830
453, 23694, 2149, 910
454, 23449, 2195, 865
455, 23784, 2285, 835
456, 23340, 2115, 840
457, 23420, 2149, 830
458, 23665, 2195, 850
459, 23559, 2105, 805
460, 23444, 2130, 810
461, 23739, 2210, 815
462, 23325, 2145, 830
463, 23370, 640303, 3330
464, 27360, 2350, 910
465, 23409, 2225, 870
466, 23829, 2275, 880
467, 23384, 2165, 840
468, 23485, 2170, 905
469, 34644, 2235, 915
470, 23714, 2195, 845
471, 23329, 2110, 825
472, 23460, 2145, 865
473, 23570, 2215, 950
474, 23515, 2150, 839
475, 23524, 2215, 825
476, 23874, 2260, 850
477, 23350, 2160, 875
478, 23320, 2095, 910
479, 23755, 2136, 836
480, 23324, 2174, 860
481, 23714, 2215, 865
482, 23589, 2135, 845
483, 23665, 2165, 910
484, 23424, 2200, 890
485, 23714, 2325, 905
486, 23319, 2125, 835
487, 23344, 2170, 890
488, 23480, 2205, 885
489, 23415, 2135, 920
490, 23415, 2120, 840
491, 23909, 2250, 835
492, 23484, 2155, 835
493, 23299, 2110, 905
494, 23570, 2175, 845
495, 23435, 2254, 840
496, 23804, 2269, 840
497, 23459, 2170, 835
498, 23494, 2170, 890
499, 23534, 2195, 855
500, 23760, 2175, 885
501, 23315, 2106, 816
502, 23544, 2150, 850
503, 23429, 2195, 900
504, 23424, 2150, 845
505, 23479, 2220, 825
506, 23960, 2280, 860
507, 23409, 2170, 890
508, 23239, 2085, 895
509, 23824, 2140, 840
510, 23260, 2180, 835
511, 23740, 2235, 825
512, 23429, 2140, 844
513, 23710, 2170, 1040
514, 23869, 2210, 840
515, 23715, 2205, 875
516, 23185, 2136, 860
517, 23325, 2225, 835
518, 23449, 2205, 880
519, 23619, 2100, 840
520, 23730, 2165, 870
521, 23170, 2100, 855
522, 23690, 2210, 860
523, 23210, 2105, 860
524, 23039, 2130, 830
525, 23519, 2190, 855
526, 23159, 2015, 850
527, 23210, 2180, 840
528, 23509, 2180, 866
529, 23474, 2180, 845
