Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
314, 8392941, 41729, 7505
315, 8382622, 41445, 7354
316, 8417316, 42584, 7794
317, 8385827, 41450, 7605
318, 8388312, 42039, 7445
319, 8384006, 41694, 7565
320, 8380312, 41859, 7330
321, 8392296, 41749, 7365
322, 8384977, 41689, 7510
323, 8395906, 42024, 7455
324, 8382247, 41609, 7360
325, 8377933, 41575, 7475
326, 8383392, 41824, 7445
327, 8394327, 41534, 7380
328, 8386616, 41619, 7460
329, 8376922, 41514, 7375
330, 8391046, 41834, 7275
331, 8394957, 41605, 7389
332, 8390527, 41634, 7355
333, 8399661, 41769, 7530
334, 8647612, 58709, 7720
335, 8916255, 42584, 7550
336, 8411652, 44554, 8455
337, 8514204, 53629, 9880
338, 8505594, 42640, 7654
339, 8387792, 41689, 7470
340, 8396776, 41839, 7550
341, 8388762, 41984, 7415
342, 8419120, 42069, 7525
343, 8386032, 41479, 7490
344, 8391811, 41454, 7410
345, 8387723, 58718, 7475
346, 8387497, 41854, 7410
347, 8389792, 42090, 7455
348, 8396307, 41909, 7550
349, 8382221, 41324, 7545
350, 8384467, 41904, 7445
351, 8404000, 41745, 7359
352, 8389437, 41874, 7370
353, 8390301, 47119, 7490
354, 8384026, 41473, 7476
355, 8378627, 41864, 7460
356, 8398366, 41789, 7500
357, 8383482, 42059, 7500
358, 8391932, 41894, 7230
359, 8385372, 41559, 7445
360, 8380852, 41684, 7325
361, 8378121, 47524, 7555
362, 8425431, 42299, 7630
363, 8383251, 41735, 7605
364, 8386907, 41689, 7425
365, 8377421, 41574, 7505
366, 8388022, 41649, 7465
367, 8375912, 41529, 7485
368, 8374487, 41609, 7520
369, 8378497, 49284, 7485
370, 8390962, 42119, 7444
371, 8383807, 42065, 7434
372, 8387836, 42174, 7400
373, 8379837, 41609, 7450
374, 8390272, 41799, 7440
375, 8388596, 41659, 7609
376, 8390597, 41699, 7380
377, 8392436, 47174, 7485
378, 8390372, 41659, 7425
379, 8387096, 41659, 7450
380, 8381412, 41764, 7395
381, 8384857, 41975, 7520
382, 8381687, 41744, 7535
383, 8397707, 41759, 7350
384, 8383741, 41669, 7449
385, 8383732, 41624, 23235
386, 8380122, 41654, 7300
387, 8386267, 42025, 7545
388, 8382577, 41464, 7365
389, 8389896, 41854, 7460
390, 8371387, 41414, 7400
391, 8393456, 41644, 7410
392, 8383627, 41844, 7430
393, 8392491, 42119, 7570
394, 8386972, 42379, 7475
395, 8382152, 41554, 7410
396, 8413326, 43954, 7880
397, 8407916, 41724, 7575
398, 8386932, 41789, 7394
399, 8378742, 41584, 7400
400, 8380956, 41820, 7354
401, 8382287, 41774, 7355
402, 8412641, 42134, 7300
403, 8377272, 41344, 7395
404, 8389347, 41799, 7564
405, 8388132, 41924, 7530
406, 8387437, 41619, 7405
407, 8462465, 47869, 8500
408, 8563129, 44179, 8120
409, 8394561, 42004, 7505
410, 8392662, 41984, 7375
411, 8400686, 42434, 7625
412, 8386747, 41684, 7555
413, 8384127, 42085, 7540
414, 8387127, 41504, 7464
415, 8385197, 41599, 7475
416, 8390926, 41649, 7425
417, 8416431, 42394, 7485
418, 8391711, 41964, 7500
419, 8389196, 41565, 7395
420, 8381362, 41374, 7355
421, 8393606, 41544, 7570
422, 8390747, 41745, 7610
423, 8395716, 41509, 7375
424, 8391207, 41629, 7425
425, 8385666, 41509, 7415
426, 8380462, 41374, 7335
427, 8416216, 41719, 7435
428, 8387882, 41574, 7410
429, 8392001, 41940, 7380
430, 8380167, 41679, 7460
431, 8401592, 41424, 7365
432, 8392476, 41794, 7445
433, 8386221, 41649, 7545
434, 8381272, 41694, 7455
435, 8401701, 41564, 7430
436, 8384926, 41779, 7400
437, 8390617, 41579, 7390
438, 8385137, 41739, 7579
439, 8383176, 41639, 7470
440, 8396597, 41754, 7540
441, 8384981, 42079, 7510
442, 8390677, 41549, 7320
443, 8391792, 41605, 7524
444, 8397752, 41584, 7405
445, 8381691, 41505, 7399
446, 8388422, 41759, 7350
447, 8408547, 41639, 7385
448, 8397960, 41604, 7385
449, 8386702, 41319, 7395
450, 8391091, 41659, 7379
451, 8388027, 41639, 7400
452, 8389532, 41409, 7469
453, 8384486, 41520, 7494
454, 8389597, 42374, 7465
455, 8387096, 41579, 7495
456, 8391267, 42369, 7420
457, 8395351, 42279, 7630
458, 8384602, 41709, 7495
459, 8399631, 41699, 7425
460, 8393052, 41589, 7450
461, 8395407, 41484, 7375
462, 8436565, 48359, 8575
463, 8491940, 45384, 8250
464, 8542158, 44009, 7940
465, 8523404, 46134, 9019
466, 8723570, 46284, 8655
467, 8571128, 48539, 8704
468, 8483830, 46099, 8215
469, 8529668, 44934, 8020
470, 8497094, 44239, 7775
471, 8497650, 45694, 8744
472, 8586387, 46724, 8350
473, 8551134, 46225, 8350
474, 8594642, 45089, 8120
475, 8462806, 42880, 7465
476, 8398526, 41695, 7449
477, 8474775, 46309, 8660
478, 8559763, 45134, 7720
479, 8414436, 42459, 7655
480, 8400967, 41519, 7560
481, 8397711, 41899, 7565
482, 8381267, 41764, 7365
483, 8397856, 41639, 7395
484, 8411231, 42694, 7600
485, 8451761, 46183, 8304
486, 8504354, 46834, 8860
487, 8523769, 69158, 8570
488, 8491814, 43194, 8150
489, 8397151, 41939, 7374
490, 8387051, 42265, 7344
491, 8389367, 41734, 7500
492, 8382457, 43244, 8080
493, 8403827, 41619, 7545
494, 8397442, 42479, 7580
495, 8406020, 41779, 7524
496, 8390037, 41684, 7415
497, 8395281, 41689, 7385
498, 8399321, 45034, 8575
499, 8504615, 45775, 8574
500, 8548568, 47114, 8550
501, 8580823, 42859, 7775
502, 8403151, 42474, 7590
503, 8387072, 41829, 7420
504, 8393341, 41734, 7565
505, 8381811, 42269, 7729
506, 8388222, 41905, 7384
507, 8387132, 41504, 7370
508, 8380847, 41674, 7434
509, 8452150, 44209, 8095
510, 8532194, 45864, 7725
511, 8538394, 43469, 7675
512, 8456845, 43219, 7760
513, 8385727, 41649, 7865
514, 8413746, 42284, 7435
515, 8386622, 41639, 7470
516, 8391651, 41624, 7315
517, 8398271, 42099, 7395
518, 8377547, 41594, 7425
519, 8383587, 41959, 7390
520, 8380077, 41734, 7275
521, 8386131, 42244, 7510
522, 8380166, 42074, 7524
523, 8379112, 41784, 7420
524, 8383267, 41963, 7404
525, 9436800, 43509, 7790
526, 8442250, 42664, 7515
527, 8398751, 42695, 7535
528, 8388581, 41754, 7425
529, 8395457, 42239, 7380
530, 8393302, 41924, 7485
531, 8389427, 42614, 7475
532, 8422996, 42745, 7860
533, 8405802, 42879, 7675
534, 8488639, 44845, 8425
535, 8509723, 46314, 8660
536, 8581598, 43135, 7919
537, 8398066, 42529, 7750
538, 8398031, 42114, 7505
539, 8396531, 42609, 7435
540, 8391071, 41889, 7275
541, 8381147, 41454, 7410
542, 8378042, 41834, 7510
543, 8377577, 41874, 7460
544, 8377021, 41834, 7475
545, 8383237, 42219, 7445
546, 8387247, 41849, 7435
547, 8466745, 45414, 8165
548, 8545423, 44334, 7970
549, 8481580, 42909, 7805
550, 8393332, 42449, 7480
551, 8408701, 42119, 7600
552, 8402111, 42474, 7380
553, 8379041, 41789, 7330
554, 8377507, 41534, 7400
555, 8387891, 42175, 7420
556, 8378902, 41789, 7415
557, 8389231, 42049, 7520
558, 8385066, 42084, 7370
559, 8389096, 42034, 7534
560, 8384297, 41584, 7285
561, 8380886, 42010, 7454
562, 8387117, 42014, 7340
563, 8382097, 41914, 7365
564, 8384322, 41844, 7354
565, 8378267, 41619, 7450
566, 8380802, 41834, 7445
567, 8390082, 41649, 7285
568, 8379852, 41964, 7564
569, 8384177, 41750, 7480
570, 8396912, 41884, 7355
571, 8391686, 42624, 7735
572, 8392872, 41835, 7490
573, 8381957, 41809, 7410
574, 8386141, 41789, 7444
575, 8384317, 41709, 7470
576, 8372467, 41850, 7414
577, 8391517, 41784, 7345
578, 8394232, 41889, 7410
579, 8380431, 41990, 7429
580, 8380387, 41709, 7435
581, 8379371, 42129, 7455
582, 8390137, 42219, 7665
583, 8394236, 41823, 7450
584, 8386192, 41814, 7465
585, 8382321, 42025, 7429
586, 8383182, 41834, 7505
587, 8380037, 41759, 7475
588, 8382102, 41794, 7420
589, 8391582, 41859, 7465
590, 8382981, 41659, 7414
